from club,to club,player name,age,position,fee,transfer type,period,year,season
Belenenses SAD,Paysandu SC,Leonardo,19,defence,NA,sold,Winter,2003,2003/2004
FC Paços de Ferreira,Desportivo Aves,Leonardo,19,defence,NA,sold,Summer,2003,2003/2004
Feyenoord Rotterdam,ADO Den Haag,Leonardo,19,defence,NA,on loan,Winter,2003,2003/2004
Feyenoord Rotterdam,ADO Den Haag,Leonardo,19,defence,NA,on loan,Winter,2003,2003/2004
ADO Den Haag,Feyenoord Rotterdam,Leonardo,20,defence,NA,on loan,Summer,2004,2004/2005
ADO Den Haag,Feyenoord Rotterdam,Leonardo,20,defence,NA,on loan,Summer,2004,2004/2005
Feyenoord Rotterdam,Without Club,Leonardo,20,defence,NA,sold,Summer,2004,2004/2005
Feyenoord Rotterdam,NAC Breda,Leonardo,21,defence,NA,sold,Winter,2005,2005/2006
Feyenoord Rotterdam,NAC Breda,Leonardo,21,defence,NA,sold,Winter,2005,2005/2006
NAC Breda,Ajax Amsterdam,Leonardo,22,defence,0.675M,sold,Winter,2006,2006/2007
NAC Breda,Ajax Amsterdam,Leonardo,22,defence,0.675M,sold,Winter,2006,2006/2007
CD Trofense,Unknown,Leonardo,24,defence,NA,sold,Summer,2008,2008/2009
Ajax Amsterdam,NAC Breda,Leonardo,25,defence,NA,sold,Summer,2009,2009/2010
Ajax Amsterdam,NAC Breda,Leonardo,25,defence,NA,sold,Summer,2009,2009/2010
NAC Breda,RB Salzburg,Leonardo,27,defence,NA,on loan,Summer,2011,2011/2012
Gil Vicente FC,Luverdense,Leonardo,28,defence,NA,sold,Winter,2012,2012/2013
NAC Breda,RB Salzburg,Leonardo,28,defence,0.09M,sold,Summer,2012,2012/2013
RB Salzburg,NAC Breda,Leonardo,28,defence,NA,on loan,Summer,2012,2012/2013
Santa Cruz-RS,Gil Vicente FC,Leonardo,28,defence,NA,sold,Summer,2012,2012/2013
Anzhi Makhachkala,Without Club,Leonardo,31,defence,NA,sold,Winter,2015,2015/2016
Portimonense SC,FC Penafiel,Leonardo,35,defence,NA,on loan,Summer,2019,2019/2020
FC Penafiel,Portimonense SC,Leonardo,36,defence,NA,on loan,Summer,2020,2020/2021
Portimonense SC,SC Covilhã,Leonardo,36,defence,NA,on loan,Summer,2020,2020/2021
Leicester City,Middlesbrough FC,Tommy Wright,26,Left Winger,0.819M,sold,Summer,1992,1992/1993
Leicester City,Middlesbrough FC,Tommy Wright,26,Left Winger,0.819M,sold,all-year,1992,1992/1993
Newcastle United,Nottingham Forest,Tommy Wright,27,Left Winger,0.608M,sold,all-year,1993,1993/1994
Newcastle United,Nottm Forest,Tommy Wright,27,Left Winger,0.608M,sold,Summer,1993,1993/1994
Middlesbrough FC,Bradford City,Tommy Wright,29,Left Winger,NA,sold,Summer,1995,1995/1996
Middlesbrough FC,Bradford City,Tommy Wright,29,Left Winger,NA,sold,all-year,1995,1995/1996
Man City,Nottingham Forest,Tommy Wright,30,Left Winger,NA,on loan,Winter,1996,1996/1997
Man City,Nottingham Forest,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Nottingham Forest,Man City,Tommy Wright,30,Left Winger,0.608M,sold,Winter,1996,1996/1997
Nottingham Forest,Man City,Tommy Wright,30,Left Winger,NA,on loan,Winter,1996,1996/1997
Nottingham Forest,Man City,Tommy Wright,30,Left Winger,0.608M,sold,all-year,1996,1996/1997
Nottingham Forest,Man City,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Nottingham Forest,Reading FC,Tommy Wright,30,Left Winger,NA,on loan,Summer,1996,1996/1997
Nottingham Forest,Reading FC,Tommy Wright,30,Left Winger,NA,on loan,Winter,1996,1996/1997
Nottingham Forest,Reading FC,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Nottm Forest,Reading FC,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Reading FC,Nottingham Forest,Tommy Wright,30,Left Winger,NA,on loan,Winter,1996,1996/1997
Reading FC,Nottingham Forest,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Reading FC,Nottm Forest,Tommy Wright,30,Left Winger,NA,on loan,all-year,1996,1996/1997
Man City,Newcastle United,Tommy Wright,33,Left Winger,NA,on loan,Summer,1999,1999/2000
Newcastle United,Man City,Tommy Wright,33,Left Winger,NA,on loan,Summer,1999,1999/2000
Bolton Wanderers,Manchester City,Tommy Wright,34,Left Winger,NA,on loan,Winter,2000,2000/2001
Manchester City,Bolton Wanderers,Tommy Wright,34,Left Winger,NA,sold,Winter,2000,2000/2001
Manchester City,Bolton Wanderers,Tommy Wright,34,Left Winger,NA,on loan,Winter,2000,2000/2001
Bolton Wanderers,Ballymena,Tommy Wright,35,Left Winger,NA,sold,Summer,2001,2001/2002
Leicester U18,Leicester City,Tommy Wright,35,Left Winger,NA,sold,Summer,2001,2001/2002
Brentford FC,Leicester City,Tommy Wright,37,Left Winger,NA,on loan,Summer,2003,2003/2004
Brentford FC,Leicester City,Tommy Wright,37,Left Winger,NA,on loan,Winter,2003,2003/2004
Brentford FC,Leicester City,Tommy Wright,37,Left Winger,NA,on loan,all-year,2003,2003/2004
Brentford FC,Leicester City,Tommy Wright,37,Left Winger,NA,on loan,all-year,2003,2003/2004
Leicester City,Brentford FC,Tommy Wright,37,Left Winger,NA,on loan,Summer,2003,2003/2004
Leicester City,Brentford FC,Tommy Wright,37,Left Winger,NA,on loan,Winter,2003,2003/2004
Leicester City,Brentford FC,Tommy Wright,37,Left Winger,NA,on loan,all-year,2003,2003/2004
Leicester City,Brentford FC,Tommy Wright,37,Left Winger,NA,on loan,all-year,2003,2003/2004
Blackpool FC,Leicester City,Tommy Wright,39,Left Winger,NA,on loan,Winter,2005,2005/2006
Leicester City,Barnsley FC,Tommy Wright,39,Left Winger,0.18M,sold,Winter,2005,2005/2006
Leicester City,Blackpool FC,Tommy Wright,39,Left Winger,NA,on loan,Summer,2005,2005/2006
Barnsley FC,Darlington,Tommy Wright,40,Left Winger,0.068M,sold,Winter,2006,2006/2007
Barnsley FC,Walsall,Tommy Wright,40,Left Winger,NA,on loan,Winter,2006,2006/2007
Walsall,Barnsley FC,Tommy Wright,40,Left Winger,NA,on loan,Winter,2006,2006/2007
