Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Adrense,Italy,,,9,17.6,0
Adriese 1906,Italy,Serie D - Girone C,986,25,21.8,3
Afan Lido,Wales,Welsh Cup,,27,25.6,0
Afips Afipskiy,Russia,Russian FNL-2 Group 1,,0,,
Africa Sports,Namibia,,45,7,28.1,0
Aglianese,Italy,Serie D - Girone D,747,24,22.3,1
Agropoli,Italy,Serie D - Girone H,45,24,25.8,3
Aigle Noir,Burundi,,,17,21.7,1
Aimoré-RS,Brazil,,720,25,27.1,0
Airbus UK,Wales,Cymru North,491,25,23.6,3
Airdrie United,Scotland,Scottish League One,293,24,23.4,2
Airdrie,Scotland,Scottish League One,293,24,23.4,2
Airdrieonians,Scotland,Scottish League One,293,24,23.4,2
Ajax Amateurs,Netherlands,Derde Divisie Saturday,135,29,25.9,3
Ajax Amsterdam,Netherlands,UEFA Champions League,310.55,27,25.6,14
Ajax Cape Town,South Africa,,,10,24.3,0
Ajman Club,United Arab Emirates,UAE Pro League,10.12,35,26.2,10
Ak. Dimitrovgrad,,,,,,
Akad. Togliatti,Russia,Russian FNL-2 Group 4,,0,,
Akademia Dinamo,Russia,Russian U17 Youth Football League,149,26,17.3,0
Akademia FCSM,Russia,Russian U17 Youth Football League,311,25,17.4,0
Akademia KSS,Russia,,,0,,
Akademik Sofia,Bulgaria,Vtora Liga,,1,27.0,0
Akademisk BK,Denmark,2.Division,135,25,22.2,3
Akhisar Belediye,Turkey,U21 Süper Lig,,0,,
Akhisarspor,Turkey,,1.76,30,22.1,2
Akhmat Grozny,Russia,Premier Liga,22.86,27,26.4,7
Akragas,Italy,Serie C - Girone C,122,17,25.2,5
Akratitos,Greece,Super League 1,,12,27.1,3
Akron Togliatti,Russia,1.Division,6.39,25,25.4,3
Akron Zips,United States,NCAA Division 1 Men's Soccer Championship,54,14,20.8,9
Aktobe,Kazakhstan,Premier Liga,7.25,23,27.2,10
Akwa United,Nigeria,Nigeria Professional Football League,180,36,24.1,1
Akzhayik,Kazakhstan,Premier Liga,3.04,19,29.1,11
Al Merreikh,Sudan,CAF-Champions League,1.96,38,26.4,5
Al Qadisiyah,Kuwait,AFC Cup,4.03,24,27.5,7
Al Sadd,Qatar,Amir Cup,21.56,28,26.4,5
Al-Adalah FC,Saudi Arabia,Saudi Professional League,4.48,30,29.7,7
Al-Ahli (UAE),,,,,,
Al-Ahli SC,Qatar,Qatar Stars League,5.54,32,25.0,5
Al-Ahly Tripoli,Libya,CAF Confederation Cup,4.50,55,29.0,6
Al-Ain FC,United Arab Emirates,UAE Pro League,23.09,37,24.6,14
Al-Arabi SC,Qatar,Qatar Stars League,17.30,33,26.0,10
Al-Batin FC,Saudi Arabia,Saudi Professional League,8.57,37,27.3,7
Al-Dhafra SCC,United Arab Emirates,UAE Pro League,6.12,38,26.8,14
Al-Duhail SC,Qatar,Amir Cup,26.06,27,25.8,5
Al-Ettifaq,Saudi Arabia,Saudi Professional League,21.33,33,26.9,7
Al-Fateh,Saudi Arabia,Saudi Professional League,11.75,33,26.5,8
Al-Fayha,Saudi Arabia,Saudi Professional League,8.60,35,28.5,7
Al-Gharafa SC,Qatar,Amir Cup,13.86,30,25.4,6
Al-Hazem,Saudi Arabia,Saudi Professional League,7.09,34,26.9,7
Al-Ittihad,Saudi Arabia,Saudi Professional League,29.23,27,26.8,7
Al-Jabalain,Saudi Arabia,King's Cup,1.89,17,31.1,9
Al-Jahra,Kuwait,,788,9,29.0,8
Al-Jamahiriyah,Libya,,,1,38.0,1
Al-Jazira,United Arab Emirates,UAE Pro League,17.43,26,24.8,9
Al-Kharaitiyat,Qatar,Amir Cup,1.78,32,29.8,6
Al-Khor SC,Qatar,Qatar Stars League,4.37,27,26.3,7
Al-Mesaimeer,Qatar,Amir Cup,1.44,40,30.4,8
Al-Muharraq,Bahrain,AFC Cup,5.24,40,26.4,7
Al-Musannah SC,Oman,,,6,27.0,3
Al-Nasr,Saudi Arabia,Saudi Professional League,50.11,26,26.7,7
Al-Nassr FC,Saudi Arabia,Saudi Professional League,50.11,26,26.7,7
Al-Nejmeh,Lebanon,,,1,18.0,0
Al-Orouba SC,Oman,AFC Cup,383,15,30.4,4
Al-Quwa Al-Jaw.,Iraq,Iraqi Super Cup,5.92,34,24.5,5
Al-Raed,Saudi Arabia,Saudi Professional League,8.57,34,27.3,7
Al-Ramtha,Jordan,,878,14,27.7,2
Al-Rayyan SC,Qatar,Qatar Stars League,29.99,30,25.6,5
Al-Riffa SC,Bahrain,AFC Cup,5.04,32,26.3,4
Al-Sadd SC,Qatar,Amir Cup,21.56,28,26.4,5
Al-Sailiya SC,Qatar,Qatar Stars League,6.21,26,28.9,5
Al-Salmiya SC,Kuwait,,1.80,19,29.3,6
Al-Shaab,Yemen,,167,7,28.4,0
Al-Shabab,Saudi Arabia,Saudi Professional League,22.91,25,27.1,7
