Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Santegidiese,Italy,Italy Cup,,8,28.8,0
Santo André,Brazil,Campeonato Paulista - Série A1,3.47,27,25.8,0
Santo António,Portugal,,,8,20.9,4
Santos FC,Brazil,Campeonato Paulista - Série A1,58.32,38,23.8,2
Santos Laguna,Mexico,Liga MX Clausura,52.74,28,24.9,9
Sanvitese,Italy,,,3,26.7,1
Sapri Calcio,Italy,,,0,,
Saprissa,Costa Rica,Primera División Clausura,4.64,26,26.3,4
Sariyer,Turkey,,1.78,33,26.2,2
Saronno,Italy,Play-out Serie C,45,14,26.4,0
Sarpsborg 08,Norway,NM-Cup,5.94,24,25.9,10
Sarreguemines,France,Coupe de France,,18,30.0,4
Sasso Marconi,Italy,Serie D - Girone D,653,27,22.5,3
Saturn Ramenskoe,Russia,Russian FNL-2 Group 3,2.21,27,21.6,0
Savit,Belarus,Vysheyshaya Liga,,0,,
Savoia,Italy,Serie D - Girone E,891,32,22.4,1
Savona,Italy,Serie D - Girone A,32,13,24.8,3
Scandicci,Italy,Serie D - Girone E,779,25,23.1,0
Scanzorosciate,Italy,Serie D - Girone B,113,15,24.5,1
Scarborough Athletic,England,,225,14,28.1,3
Scarborough,England,,225,14,28.1,3
Scarlet Knights,United States,,,7,20.8,4
Scheveningen,Netherlands,Jack’s League,68,26,26.9,1
Schwabmünchen,Germany,Bayernliga Süd,,31,23.8,10
Schweinfurt 05,Germany,Regionalliga Bayern,1.73,23,24.9,3
Scunthorpe United,England,League Two,2.18,27,23.4,7
Scunthorpe Utd.,England,League Two,2.18,27,23.4,7
Seaham Red Star,England,,,6,25.7,1
Seattle Sounders,United States,Major League Soccer,41.81,27,25.4,12
Seattle,United States,Major League Soccer,41.81,27,25.4,12
Seba United,Jamaica,CONCACAF Champions League,,16,30.5,0
Seixal,Portugal,,,4,29.8,1
Selangor FA,Malaysia,Malaysia Super League,698,18,23.3,3
Selargius,Italy,Serie D - Girone G,,2,20.5,0
Selenga Ulan-Ude,,,,,,
Sembawang,Singapore,,,0,,
Senglea Ath.,Malta,Challenge League,167,25,27.2,4
Senigallia,Italy,,9,10,26.9,1
Seongnam FC,"Korea, South",K League 1,9.63,35,25.9,2
Seongnam Ilhwa,,,,,,
Sepahan,Iran,Persian Gulf Pro League,8.66,26,27.6,2
Sepsi OSK,Romania,Liga 1 - Relegation group,9.45,30,25.8,10
Seraing United,,,,,,
Sered,Slovakia,Fortuna Liga - Championship Group,4.21,25,25.0,17
Seregno,Italy,Serie C - Girone A,2.87,36,24.2,3
Sernache,Portugal,Taça de Portugal Placard,45,13,27.5,6
Serpentara,Italy,Serie D play-out,,4,29.3,0
Serrano-BA,Brazil,,,3,39.3,0
Sertanense,Portugal,Taça de Portugal Placard,360,20,22.4,7
Sertãozinho,Brazil,,225,21,25.8,0
Servette FC,Switzerland,Super League,20.81,30,24.7,17
Sestao River,Spain,Segunda División R.F.E.F. - Grupo II,2.14,22,25.8,2
Sestao Sport,Spain,LaLiga2,,0,,
Sestese Jun.,Italy,,,0,,
Sestrese,Italy,,,7,22.6,0
Sestri Levante,Italy,Serie D - Girone A,801,25,21.6,4
Settempeda,Italy,,,1,39.0,0
Seven Stars,South Africa,,,0,,
Sevilla Atl.,Spain,Primera División R.F.E.F. - Grupo II,4.68,27,20.3,2
Sevilla FC,Spain,LaLiga,382.41,26,28.1,19
Shabab,Saudi Arabia,Saudi Professional League,22.91,25,27.1,7
Shakhtar 3,Ukraine,,,0,,
Shakhtar D.,Ukraine,Premier Liga,174.69,29,24.7,14
Shakhter K.,Kazakhstan,Premier Liga,6.13,25,26.8,12
Shamrock Rovers,Ireland,SSE Airtricity League Premier Division,2.90,27,25.8,3
Sharjah FC,United Arab Emirates,AFC Champions League-Qualification,22.03,36,24.8,10
Sharks FC,Ghana,Ghana Premier League,1.42,37,24.2,0
Shatin,Hongkong,Hong Kong First Division,212,26,28.8,3
Sheff Utd,England,Championship,84.69,25,27.1,11
Sheff Wed,England,League One,24.48,26,27.0,12
Sheffield FC,England,,,11,27.6,1
Sheffield United,England,Championship,84.69,25,27.1,11
Sheffield Utd.,Hongkong,Hong Kong FA Cup,,0,,
Sheffield Wednesday,England,League One,24.48,26,27.0,12
Sheksna,Russia,Russian FNL-2 Group 2,,0,,
Shelbourne,Ireland,SSE Airtricity League Premier Division,1.04,31,22.3,5
Shepshed Dynamo,England,,,11,25.9,2
Shildon AFC,England,,,11,31.2,0
Shillong Lajong,India,,,20,20.0,0
Shimizu S-Pulse,Japan,J1 League,16.09,38,24.4,7
Shinnik Yaroslavl,Russia,Russian FNL-2 Group 2,4.75,25,26.6,0
Shirak Gyumri,Armenia,Armenian First League,1.15,28,21.8,2
Shkendija,North Macedonia,Prva Makedonska Fudbalska Liga,5.74,23,25.7,7
Shoalah,Saudi Arabia,King's Cup,1.33,40,32.1,7
Shonan Bellmare,Japan,J1 League,10.40,35,25.3,2
Shooting Stars,Nigeria,Nigeria Professional Football League,203,39,24.6,0
Shrewsbury,England,League One,4.23,23,25.6,9
Shumen 2010,,,,,,
Siarka T.,Poland,3 Liga - Group IV,,25,23.5,2
Sibir Novosibirsk (-2019),,,,,,
Sibiryak Bratsk,Russia,Russian PFL Ost,,0,,
Sichuan FC,China,,,13,,0
Sicula Leonzio,Italy,Play-out Serie C,,1,23.0,1
Siena Junior,,,,,,
Sigma Olomouc,Czech Republic,Fortuna Liga,8.80,29,25.8,5
Siirt Jetpa,,,,,,
Sileks,North Macedonia,UEFA Europa Conference League Qualifiers,1.41,24,25.6,0
Silgueiros,Portugal,,,0,,
Silkeborg IF,Denmark,Superligaen,9.00,29,23.3,5
Silver Strikers,Malawi,,203,15,26.0,0
Silverbacks,United States,NISA Fall Season,,15,32.1,11
Silves FC,Portugal,,,8,27.9,3
Simurq,Azerbaijan,Premyer Liqa,,0,,
Sindjelic Bg,Serbia,Prva liga Srbije,9,19,23.9,0
Sing Tao,Hongkong,,,0,,
Sint-Truiden,Belgium,Jupiler Pro League,15.82,28,25.1,16
Sintrense,Portugal,Taça de Portugal Placard,,24,22.8,3
Sirius,Sweden,Svenska Cupen,7.20,26,23.9,8
Siroki Brijeg,Bosnia-Herzegovina,Kup BIH,3.51,23,24.2,13
Sittingbourne FC,England,,45,9,27.9,2
Sivasspor,Turkey,Süper Lig,26.75,27,29.5,13
Skellefteå AIK,Sweden,,,0,,
Skelmersdale,England,FA Cup,,18,29.1,0
Skoda Xanthi,,,,,,
Skonto Riga,Latvia,1.Liga,,0,,
Skonto,Latvia,,,1,16.0,0
Sl. Liberec,Czech Republic,Ceska fotbalova liga,675,19,20.2,2
Slask Wroclaw,Poland,PKO Ekstraklasa,12.98,36,24.6,12
Slaven Belupo,Croatia,1.HNL,6.44,28,24.7,6
Slaven Zivinice,Bosnia-Herzegovina,Prva liga FBiH,18,5,19.6,0
Slavia Prague,Czech Republic,Fortuna Liga,58.68,28,26.3,12
Slavia Sofia,Bulgaria,efbet Liga,6.23,29,24.8,6
Sliema Wander.,Malta,Premier League,3.24,30,27.0,15
Sligo Rovers,Ireland,SSE Airtricity League Premier Division,1.84,27,23.9,5
Slo. Bratislava,Slovakia,Fortuna Liga - Championship Group,14.27,28,26.8,16
Sloboda Tuzla,Bosnia-Herzegovina,Kup BIH,3.38,24,24.8,4
Sloboda Uzice,Serbia,Prva liga Srbije,752,21,27.4,1
Slough Town,England,National League South,,22,27.7,2
Slough,England,National League South,,22,27.7,2
Slovacko,Czech Republic,Fortuna Liga,7.54,21,28.1,4
Slovan Liberec,Czech Republic,Fortuna Liga,8.30,31,24.2,15
Smederevo,Serbia,Kup Srbije,437,28,22.8,0
Smena Moskau,Russia,,,1,16.0,1
Smena,Belarus,Belarusian Cup,,18,29.2,0
Smena-Saturn,Russia,Russian Cup,,0,,
Smena-Zenit,Russia,,,0,,
Smitshoek,Netherlands,Hoofdklasse A Saturday,405,25,28.2,3
Sobrado,Portugal,,,5,29.8,1
Sochi-04,Russia,,,0,,
Sodovik,,,,,,
Sogndal IL,Norway,Relegation Eliteserien,2.48,21,23.3,3
Sokol Saratov,Russia,Russian FNL-2 Group 3,3.52,26,25.5,0
Sokol Tychy,,,,,,
Sol de América,Paraguay,Primera División Apertura,6.41,22,28.1,7
Solbiatese Arno Calcio,Italy,Lega Pro Seconda Divisione - Girone A,,1,37.0,0
Soligorsk,Belarus,Belarusian Super Cup,12.40,29,25.7,9
Solihull Moors,England,National League,90,25,25.7,6
Somorrostro,Spain,,,9,26.9,1
Sona Calcio,Italy,Serie D - Girone B,810,30,21.9,9
Sondrio,Italy,,,4,21.8,0
Sonnenhof-Gr.,Germany,Regionalliga Südwest,1.87,25,24.8,4
Soongsil Univ.,"Korea, South",Korean FA Cup,23,7,20.6,0
Sora,Mexico,Liga MX Clausura,27.45,27,26.3,11
Sorocaba (SP),,,,,,
Sorrento,Italy,Serie D - Girone H,738,26,23.7,2
Sounders FC,United States,Major League Soccer,41.81,27,25.4,12
Sousa,Brazil,Campeonato Paraibano,,31,25.6,0
Sousense,Portugal,,,4,26.0,0
South China,Hongkong,Hong Kong First Division,329,24,24.5,3
South Melbourne,Australia,National Premier League - Victoria,180,25,26.8,5
Southampton FC,England,Premier League,222.08,26,26.5,15
Southampton Res.,,,,,,
Southend United,England,National League,270,27,25.6,6
Southport,England,National League North,23,18,24.4,1
Soyuz-Gazprom,Russia,Russian Cup,,0,,
Sp. Dzhankoy,Russia,,,1,26.0,0
Sp. Glanerbrug,Netherlands,,,1,37.0,0
Sp. Mahonés,Spain,Segunda División B - Grupo III (till 20/21),,0,,
Sp. Perpignan R,,,,,,
Sp. Toulon Var,,,,,,
Sp.-Chukotka,Russia,1.Division,,0,,
SpVgg Ansbach,Germany,Bayernliga Nord,,23,24.7,0
SpVgg Au/Iller,,,,,,
SpVgg Bayreuth,Germany,Regionalliga Bayern,2.05,26,25.1,4
SpVgg Fürth,,,,,,
SpVgg Greuther Fürth,Germany,Bundesliga,26.82,27,24.9,11
SpVgg Landshut,Germany,Landesliga Bayern Südost,,23,23.5,4
SpVgg Marl,Germany,Oberliga Westfalen (bis 93/94),,1,38.0,0
SpVgg Neckarelz,Germany,Verbandsliga Nordbaden,,18,22.2,1
SpVgg Renningen,Germany,,,1,40.0,0
SpVgg Unterhaching,Germany,Regionalliga Bayern,2.90,33,22.9,4
Spakenburg,Netherlands,Jack’s League,743,27,25.4,3
Spalding United,England,,90,18,28.6,4
Sparta Novara,Italy,,,7,26.3,1
Sparta Oborniki,Poland,,,8,23.5,0
Sparta Prague,Czech Republic,Fortuna Liga,48.38,28,24.6,6
Sparta Praha,Czech Republic,Fortuna Liga,48.38,28,24.6,6
Sparta R.,Netherlands,Eredivisie,12.56,21,28.0,11
Sparta Rotterdam,Netherlands,Eredivisie,12.56,21,28.0,11
Spartak Ch.,Russia,1.Division,,0,,
Spartak I-F,Ukraine,Premier Liga,,0,,
Spartak L.,,,,,,
Spartak Moscow,Russia,Premier Liga,106.25,25,24.5,8
Spartak Myjava,Slovakia,Slovnaft Cup,270,24,26.3,2
Spartak N.,Russia,,,0,,
Spartak NN,Russia,1.Division,,0,,
Spartak Nalchik,Russia,Russian FNL-2 Group 1,2.59,29,24.0,0
Spartak Orel,,,,,,
Spartak Semey,Kazakhstan,,,1,29.0,0
Spartak Shuya,Russia,,,0,,
Spartak Tambov,Russia,Russian FNL-2 Group 3,,0,,
Spartak Trnava,Slovakia,Fortuna Liga - Championship Group,7.07,28,24.6,9
Spartak V-kavkaz,,,,,,
Spartak Varna,Bulgaria,Vtora Liga,1.60,25,24.2,1
Spartak Vladikavkaz,Russia,Russian FNL-2 Group 1,,1,20.0,0
Spartak-Alania Vladikavkaz,,,,,,
Spartak-KI,Russia,Russian Cup,,0,,
Spartak-MZK,Russia,1.Division,,0,,
Spartaks,Latvia,Virsliga,1.94,26,20.7,7
Spelle-Venhaus,Germany,Oberliga Niedersachsen Playoffs,,23,25.0,2
Spennymoor Town,England,National League North,,24,29.2,4
Spennymoor United,England,,,1,27.0,0
Spezia Calcio,Italy,Serie A,64.17,31,23.5,22
Spfr. Siegen,Germany,Oberliga Westfalen,,23,25.6,4
Spijkenisse,Netherlands,Hoofdklasse A Saturday,,26,24.3,3
Spittal,Austria,Regional League Central,,25,21.2,9
Spoleto,Italy,Serie D - Girone E,,7,26.0,0
Spora Luxemburg,Luxembourg,Nationaldivision - Abstiegsgruppe B,,0,,
Sport Boys,Peru,Liga 1 Apertura,5.90,34,25.6,5
Sport Huancayo,Peru,Liga 1 Apertura,5.05,29,27.0,5
Sport Recife,Brazil,Campeonato Pernambucano,11.97,36,24.6,5
Sport. Belgrano,Argentina,Copa Argentina,293,28,28.3,0
Sport. Cristal,Peru,Liga 1 Apertura,12.06,30,24.0,4
Sport. Hasselt,Belgium,2de Nationale VFV B,,24,23.7,1
Sportacademclub,Russia,Russian Cup,,3,20.7,0
Sportclub '25,Netherlands,,,4,27.5,0
Sporting Almere,Netherlands,,,1,24.0,0
Sporting CP,Portugal,Liga Portugal,235.08,24,26.0,11
Sporting Club de Toulon et du Var,,,,,,
Sporting Fingal,Ireland,SSE Airtricity League Premier Division,,0,,
Sporting Gijón,Spain,LaLiga2,25.52,26,25.6,6
Sporting Pombal,Portugal,,,0,,
Sporting Praia,Cape Verde,,,4,38.8,0
Sporting Recco,Italy,Serie D - Girone E,,3,23.7,0
Sporting Terni,Italy,,,0,,
Sportlust '46,Netherlands,Derde Divisie Saturday,,26,26.6,1
Sportul S.,Romania,Cupa României,,13,26.7,0
Sprimont,Belgium,3de Nationale ACFF B,,26,26.0,3
Spurs,England,Premier League,522.23,22,25.5,15
Spyris,,,,,,
Spårvägen,Sweden,,,0,,
Sriwijaya FC,Indonesia,Liga 2 Indonesia Playoffs,1.09,26,27.8,0
St Albans City,England,National League South,,26,24.0,6
St-Denis St-Leu,France,,,0,,
St-Étienne,France,Ligue 1,96.21,30,25.0,15
St. Albans City,England,National League South,,26,24.0,6
St. Gallen,Switzerland,Super League,21.65,31,23.2,13
St. George Saints,Australia,,,4,30.0,2
St. Gerrards,England,,,1,32.0,0
St. Ives Town,England,,90,19,26.8,5
St. Johnstone,Scotland,Scottish Premiership,9.32,29,26.8,11
St. Josephs Boys,Ireland,,,1,24.0,0
St. Kickers,Germany,B-Junioren Bundesliga Süd/Südwest,,25,16.3,5
St. Mirren FC,Scotland,SFA Cup,7.16,21,26.4,13
St. Mirren,Scotland,SFA Cup,7.16,21,26.4,13
St. Pat's,Ireland,SSE Airtricity League Premier Division,2.54,26,22.3,6
St. Patricks,Ireland,UEFA Youth League,248,18,17.5,1
St.Truiden Res.,,,,,,
Stabia,Italy,Serie C - Girone C,3.65,27,25.7,3
Stabæk Fotball,,,,,,
Stade Auxerre,France,,,1,27.0,0
Stade Beaucairois,France,Coupe de France,45,22,30.1,8
Stade Bordelais,France,Coupe de France,,31,26.1,8
Stade Brest 29,France,Ligue 1,69.17,26,25.5,8
Stade Brestois 29,France,Ligue 1,69.17,26,25.5,8
Stade Briochin,France,Championnat National,4.37,23,27.0,5
Stade Lavallois,France,Championnat National,5.45,25,27.2,6
Stade Montois,France,Championnat National 2 - Groupe D,,25,24.3,3
Stade Nyonnais,Switzerland,Promotion League,1.19,27,24.6,12
Stade Poitevin,France,Coupe de France,,25,26.8,5
Stade Raphaëlois,France,,,0,,
Stade Reims,France,Ligue 1,89.10,30,23.7,21
Stade Rennais FC,France,Ligue 1,195.21,26,23.7,10
Stade Tunisien,Tunisia,Ligue Professionelle 1 - Relegation,2.54,26,26.1,0
Stade d'Abidjan,Cote d'Ivoire,,,14,31.0,0
Stade-Lausanne,Switzerland,Challenge League,5.58,26,23.5,15
Stafford Rangers,England,,180,22,25.5,6
Staines Town FC,England,FA Cup,,19,29.9,5
Stal Alchevsk,Ukraine,Persha Liga,,0,,
Stal Mielec,Poland,PKO Ekstraklasa,6.39,28,25.1,3
Stalybridge Celtic FC,England,,,0,,
Stalybridge,England,FA Cup,68,17,27.6,6
Stamford,England,FA Cup,,16,27.1,4
Standard Liège,Belgium,Jupiler Pro League,43.85,28,23.8,15
Standard Res.,,,,,,
Standard Sumqayit,Azerbaijan,Premyer Liqa,,0,,
Stariye Dorogi,Belarus,Belarusian Cup,,22,28.0,0
Start,Norway,NM-Cup,3.42,27,23.2,7
Stationery Stores FC,Nigeria,,,0,,
Staveley MW,England,,,5,22.0,1
Stavropolje,Russia,,,0,,
Ste. Geneviève,France,Championnat National 2 - Groupe B,383,32,26.6,5
SteDoCo,Netherlands,Derde Divisie Saturday,68,22,27.5,2
Steaua Bukarest,,,,,,
Steel Azin,Iran,,,0,,
Steenwijk,Netherlands,,,6,28.8,0
Stella Club,Cote d'Ivoire,,,6,31.5,2
Stenhousemuir,Scotland,Scottish League Two,338,23,25.5,2
Stevenage FC,England,League Two,2.63,26,27.2,7
Stevenage,England,League Two,2.63,26,27.2,7
Stirling Albion,Scotland,Scottish League Two,45,22,25.8,3
Stirling,Scotland,Scottish League Two,45,22,25.8,3
Stockport S,England,,,3,31.7,1
Stockport,England,National League,225,23,27.0,3
Stoke City,England,Championship,51.12,27,26.5,14
Stomil Olsztyn,Poland,Fortuna 1 Liga,2.52,28,23.3,4
Storm,United States,,1.33,17,25.0,8
Stormv. Telstar,,,,,,
Stormvogels,Netherlands,,270,6,28.0,0
Stourbridge,England,FA Cup,,16,31.3,2
Stratford Town,England,FA Cup,45,22,27.1,1
Strijen,Netherlands,,,2,29.0,1
Strindheim IL,Norway,NM-Cup,68,28,22.7,0
Strømsgodset,Norway,NM-Cup,7.11,25,23.2,6
Stumbras,Lithuania,A Lyga,,0,,
Sturm Graz,Austria,Bundesliga,26.62,30,23.1,8
Stuttg. Kickers,Germany,Oberliga Baden-Württemberg,,24,25.3,4
SuS Stadtlohn,Germany,Landespokal Westfalen,,26,26.6,3
Suchitepéquez,Guatemala,Liga Nacional Clausura,968,25,30.2,7
Sudbury,England,FA Cup,,22,25.8,1
Suduva,Lithuania,A Lyga,4.36,26,24.6,12
Sukhothai FC,Thailand,Thai League 2,2.30,28,27.4,5
Sulmona Calcio,Italy,,,7,30.6,5
Sumgayit,Azerbaijan,Premyer Liqa,4.93,25,25.4,1
Sun Hei,Hongkong,Hong Kong First Division,,17,29.7,0
Sunderland AFC,England,League One,16.79,27,24.9,13
Sunderland Res.,,,,,,
Sundowns,South Africa,CAF-Champions League,21.04,35,28.4,8
SuperSport Utd.,South Africa,Nedbank Cup,8.10,31,25.7,8
Sur Club,Oman,AFC Cup-Qualification,,21,27.2,6
Surubim,Brazil,,,0,,
Sutjeska Niksic,Montenegro,Telekom 1. CFL,3.69,20,25.9,4
Sutton C.,England,,,9,24.4,2
Sutton Utd,England,League Two,1.55,25,27.5,4
Suwon Bluewings,"Korea, South",K League 1,11.25,35,25.8,3
Suze-sur-Sarthe,France,,,8,29.4,3
Sušica,Serbia,Kup Srbije,90,24,25.8,2
Svetogorets Svetogorsk,Russia,,,0,,
Svetotekhnika S,Russia,,,0,,
Svit Zlin,,,,,,
Swansea City,Wales,Championship,35.06,23,24.9,21
Swindon Town,England,League Two,4.55,24,24.0,6
Sydney FC,Australia,A-League Men,9.54,29,27.3,6
Sydney Olympic,Australia,National Premier League - New South Wales,1.22,19,26.2,3
Sydney United,Australia,National Premier League - New South Wales,99,22,26.0,1
Synot,Czech Republic,,,0,,
Syrianska FC,Sweden,U19 Allsvenskan Norra,,22,23.7,5
Syzran-2003,Russia,Russian FNL-2 Group 4,,8,24.6,0
Szeged,Hungary,Nemzeti Bajnokság II.,2.64,28,23.9,3
São Bento (SP),,,,,,
São Bernardo-SP,Brazil,Campeonato Paulista - Série A1,5.45,31,27.3,0
São Caetano,Brazil,Campeonato Paulista - Série A1,248,26,27.7,1
São Carlos,Brazil,,,1,21.0,0
São Paulo,Brazil,Campeonato Paulista - Série A1,162.00,33,24.8,4
São Raimundo,Brazil,Campeonato Amazonense,,36,25.1,0
São Roque,Portugal,,,9,30.4,0
SönderjyskE,Denmark,Superligaen,9.41,29,24.2,13
Südtirol,Italy,Serie C - Girone A,5.92,26,27.1,3
T. Kamyshin,Russia,,,0,,
T. Royal Zulu,,,,,,
T. Volzhskiy,Russia,,,7,26.0,0
TB Jahn Zeiskam,Germany,Verbandsliga Südwest,,25,23.3,2
TB Rowdies,United States,USL Championship,3.83,21,27.5,14
TEC,Canada,Major League Soccer,32.18,25,24.8,15
THOI Lakatamias,Cyprus,Kypello Kyprou,,20,24.9,5
TJ Jinmen Tiger,China,Chinese Super League,2.36,24,27.9,2
TJ Quanjian,,,,,,
TJ Teda,China,,,0,,
TJ Tianhai,China,Chinese Super League,,0,,
TJ Vitkovice,Czech Republic,,,0,,
TOP Oss,Netherlands,Keuken Kampioen Divisie,3.35,26,24.5,6
TP Mazembe,DR Congo,CAF Confederation Cup,1.91,45,25.3,15
TP-47,Finland,Kolmonen Pohjoinen,,31,25.8,2
TPS,Malta,Challenge League,918,23,28.2,5
TPV,Finland,Kakkonen - Group B,45,21,21.9,1
TRASKO Moskau,Russia,Russian Cup,,0,,
TS Ober-Roden,Germany,Verbandsliga Hessen-Süd,,22,23.8,6
TSF Ditzingen,Germany,Oberliga Baden-Württemberg (bis 07/08),,0,,
TSG 1899 Hoffenheim,Germany,Bundesliga,177.71,30,25.2,17
TSG Dülmen,Germany,Landespokal Westfalen,,22,29.5,3
TSG Hoffenheim,Germany,Bundesliga,177.71,30,25.2,17
TSK-Tavriya,Russia,Russian Cup,,16,28.3,1
TSV 1860 Munich,Germany,3. Liga,5.42,29,23.9,5
TSV Aindling,Germany,Landesliga Bayern Südwest,,34,26.9,1
TSV Brannenburg,Germany,,,3,28.3,0
TSV Buchbach,Germany,Regionalliga Bayern,945,24,23.8,0
TSV Gersthofen,Germany,Landesliga Bayern Südwest,,23,25.0,2
TSV Graal-Mür.,Germany,Landespokal Mecklenburg-Vorpommern,,25,30.6,1
TSV Hartberg,Austria,Bundesliga,7.49,27,26.1,7
TSV Mindelheim,Germany,,,3,27.0,1
TSV Mühlenfeld,Germany,,,34,32.3,3
TSV Neusäß,Germany,,,7,27.3,2
TSV Wolfschlugen,Germany,,,2,34.0,1
TVC '28,Netherlands,,,2,27.0,0
TVC ´39,,,,,,
TVEC Les Sables,France,,,8,31.0,3
Tabor Sezana,Slovenia,Prva Liga,3.43,31,23.5,12
Tacuary FBC,Paraguay,Primera División Apertura,1.71,31,26.6,1
Tadamon Sour,Lebanon,Leb. Premier League,248,30,27.7,2
Taff's Well,Wales,Welsh Cup,32,27,24.9,2
Talavera CF,Spain,Segunda División B - Grupo I (till 20/21),,0,,
Tamai,Italy,Serie D - Girone C,32,17,23.2,2
Tampa Bay,United States,USL Championship,3.83,21,27.5,14
Tampere United,Finland,Regions Cup,23,24,23.8,3
Tamworth,England,National League,90,24,25.4,1
Tanque Sisley,Uruguay,Playoffs Primera Division,,4,31.8,0
Tapajós-PA,Brazil,Campeonato Paraense,,29,26.7,0
Taquaritinga-SP,Brazil,,,1,23.0,0
Tar Heels,United States,,90,19,21.1,7
Taranto,Italy,Serie C - Girone C,2.89,27,25.2,2
Taraz,Kazakhstan,Premier Liga,4.97,27,26.0,5
Tarbes Pyrénées,France,Championnat National 2 - Groupe A,,8,28.1,3
Tarxien,Malta,Maltese FA Trophy,1.36,25,26.6,6
Tatran Presov,Slovakia,Slovnaft Cup,495,23,25.5,4
Taubaté-SP,Brazil,,180,24,27.0,0
Tauras,Lithuania,A Lyga,,4,27.5,0
Te Werve,Netherlands,,,1,24.0,0
TeBe Berlin,Germany,Regionalliga Nordost,621,24,23.3,6
Team Bath,England,,,0,,
Tekstilshchik Kamyshin,Russia,Russian Cup,,1,37.0,0
Telford Utd,England,National League North,248,23,26.5,3
Telstar,Netherlands,Keuken Kampioen Divisie,4.48,32,23.5,5
Tema Youth,Ghana,Ghana Premier League,225,15,26.4,0
Temp Shepetovka,,,,,,
Tempio,Italy,Lega Pro Seconda Divisione - Girone A,23,11,26.2,4
Teplice,Czech Republic,Fortuna Liga,6.08,33,26.3,7
Ter Leede,Netherlands,Derde Divisie Saturday,,26,23.8,0
Teramo,Italy,Serie C - Girone B,3.80,27,24.1,2
Terek Grozny,,,,,,
Terengganu FC,Malaysia,Malaysia Super League,2.73,31,25.7,9
Termalica,Poland,PKO Ekstraklasa,8.44,33,26.2,15
Ternana U.,,,,,,
Ternana,Italy,Serie B,14.06,34,26.8,10
Terracina,Italy,Serie D - Girone G,23,8,23.1,0
Terrassa FC,Spain,Segunda División R.F.E.F. - Grupo III,1.42,23,25.1,2
Tervarit Oulu,Finland,Kolmonen Pohjoinen,,16,,0
Thai Honda FC,Thailand,Thai FA Cup,,0,,
Thannhausen,Germany,Landesliga Bayern Südwest,,5,30.2,3
The New Saints,Wales,Cymru Premier Championship Conference,1.62,19,27.3,14
The Strongest,Bolivia,Copa Libertadores,9.00,29,27.7,8
Thermal Abano,Italy,Serie D - Girone D,,0,,
Thespaku. Gunma,Japan,J2 League,5.31,32,26.2,0
Thonon Évian,France,Coupe de France,90,20,26.4,4
Thouars Foot 79,France,Coupe de France,,6,31.5,2
Thrasyvoulos,Greece,Football League,,1,29.0,0
Thróttur,Iceland,Lengjubikarinn,360,31,24.8,5
Thundering Herd,United States,,,4,21.8,4
Thurrock,England,FA Cup,,19,30.4,2
Thór,England,League Two,2.18,27,23.4,7
Tianjin Res.,China,,90,5,25.4,0
Tiburones Rojos,Mexico,Liga MX Apertura,,0,,
Tigre,Mexico,Liga MX Clausura,69.12,25,28.1,10
Tigres UANL,Mexico,Liga MX Clausura,69.12,25,28.1,10
Tiligul-Tiras,Moldova,UEFA Intertoto Cup,,11,35.2,0
Tiradentes,Brazil,,,9,31.9,0
Tiro Federal,Argentina,,,4,32.5,0
Tirreno,Italy,,,0,,
Tiverton Town FC,England,,,17,27.5,1
Tiverton,England,,,17,27.5,1
Tivoli Gardens FC,Jamaica,Jamaica Premier League Playoff,,25,28.9,0
Tobol Kostanay,Kazakhstan,Premier Liga,10.55,22,28.4,6
Tobol Kurgan,Russia,,,1,39.0,0
Todi Calcio,Italy,,,1,46.0,0
Tokushima Vort.,Japan,J2 League,8.28,34,24.4,5
Tokyo Verdy,Japan,J2 League,6.32,34,24.4,3
Toledo EC,Brazil,Copa do Brasil,,9,27.6,1
Tolentino,Italy,Serie D - Girone F,797,21,22.9,1
Toluca,Mexico,Liga MX Clausura,30.78,26,26.5,10
Tom 2 Tomsk,Russia,Russian PFL Ost,,0,,
Tom Tomsk,Russia,1.Division,4.98,23,25.3,2
Tomar,Italy,Serie D - Girone C,1.31,24,23.4,6
Tombense,Brazil,Campeonato Mineiro,2.72,30,25.8,0
Tonbridge,England,National League South,45,23,25.8,4
Tondela Sub-23,Portugal,,,1,22.0,0
Tonnerre,Benin,,,19,27.6,1
Tooting & Mitcham FC,England,,,11,27.5,6
Tor Tre Teste,Italy,,,2,22.0,0
Tor-Met Moskau,,,,,,
Tor-ZiL Moskau,Russia,Russian Cup,,0,,
Torcatense,Portugal,,180,6,24.3,0
Torino Calcio,Italy,Serie A,198.97,29,25.3,19
Torino FC Youth,Italy,,,9,15.7,1
Torino FC,Italy,Serie A,198.97,29,25.3,19
Toronto Bliz.,Canada,,,1,,1
Toronto Lynx,Canada,,,3,32.7,3
Torpedo Armavir,Russia,1.Division,,1,23.0,0
Torpedo Arzamas,Russia,Russian Cup,,0,,
Torpedo Kutaisi,Georgia,Crystalbet Erovnuli Liga,3.20,25,26.2,2
Torpedo Moscow,Russia,1.Division,7.88,24,26.7,2
Torpedo NN,Russia,1.Division,,0,,
Torpedo Pavlovo,Russia,Russian Cup,,0,,
Torpedo Taganrog,Russia,Russian Cup,,0,,
